country,academic_year,academic_level,enrollment
Iran,2005/06,enrollment_undergrad,641
Iran,2006/07,enrollment_grad,1866
Iran,2006/07,enrollment_other,286
Iran,2006/07,enrollment_undergrad,643
Iran,2007/08,enrollment_grad,2189
Iran,2007/08,enrollment_other,310
Iran,2007/08,enrollment_undergrad,561
Iran,2008/09,enrollment_grad,2639
Iran,2008/09,enrollment_other,322
Iran,2008/09,enrollment_undergrad,572
Iran,2009/10,enrollment_grad,3773
Iran,2009/10,enrollment_other,416
Iran,2009/10,enrollment_undergrad,542
Iran,2010/11,enrollment_grad,4696
Iran,2010/11,enrollment_other,501
Iran,2010/11,enrollment_undergrad,429
Iran,2011/12,enrollment_grad,5747
Iran,2011/12,enrollment_other,779
Iran,2011/12,enrollment_undergrad,456
Iran,2012/13,enrollment_grad,7157
Iran,2012/13,enrollment_other,1038
Iran,2012/13,enrollment_undergrad,549
Iran,2013/14,enrollment_grad,8254
Iran,2013/14,enrollment_other,1318
Iran,2013/14,enrollment_undergrad,622
Iran,2014/15,enrollment_grad,8953
Iran,2014/15,enrollment_other,1628
Iran,2014/15,enrollment_undergrad,757
Iran,2015/16,enrollment_grad,9534
Iran,2015/16,enrollment_other,1893
Iran,2015/16,enrollment_undergrad,842
Iran,2016/17,enrollment_grad,9578
Iran,2016/17,enrollment_other,2094
Iran,2016/17,enrollment_undergrad,971
Iran,2017/18,enrollment_grad,9695
Iran,2017/18,enrollment_other,2280
Iran,2017/18,enrollment_undergrad,808
Iran,2018/19,enrollment_grad,9017
Iran,2018/19,enrollment_other,2399
Iran,2018/19,enrollment_undergrad,726
Iran,2019/20,enrollment_grad,8518
Iran,2019/20,enrollment_other,2321
Iran,2019/20,enrollment_undergrad,612
Iran,2020/21,enrollment_grad,7225
Iran,2020/21,enrollment_other,1895
Iran,2020/21,enrollment_undergrad,494
Iran,2021/22,enrollment_grad,7025
Iran,2021/22,enrollment_other,1870
Iran,2021/22,enrollment_undergrad,400
Iran,2022/23,enrollment_grad,8405
Iran,2022/23,enrollment_other,1963
Iran,2022/23,enrollment_undergrad,444
Iran,2023/24,enrollment_grad,10129
Iran,2023/24,enrollment_other,1784
Iran,2023/24,enrollment_undergrad,517
Iran,2024/25,enrollment_grad,10154
Iran,2024/25,enrollment_other,1860
Iran,2024/25,enrollment_undergrad,642
Iraq,2000/01,enrollment_grad,50
Iraq,2000/01,enrollment_other,6
Iraq,2000/01,enrollment_undergrad,99
Iraq,2001/02,enrollment_grad,55
Iraq,2001/02,enrollment_other,8
Iraq,2001/02,enrollment_undergrad,84
Iraq,2002/03,enrollment_grad,57
Iraq,2002/03,enrollment_other,3
Iraq,2002/03,enrollment_undergrad,67
Iraq,2003/04,enrollment_grad,40
Iraq,2003/04,enrollment_other,6
Iraq,2003/04,enrollment_undergrad,74
Iraq,2004/05,enrollment_grad,57
Iraq,2004/05,enrollment_other,19
Iraq,2004/05,enrollment_undergrad,66
Iraq,2005/06,enrollment_grad,96
Iraq,2005/06,enrollment_other,21
Iraq,2005/06,enrollment_undergrad,73
Iraq,2006/07,enrollment_grad,130
Iraq,2006/07,enrollment_other,23
Iraq,2006/07,enrollment_undergrad,109
Iraq,2007/08,enrollment_grad,171
Iraq,2007/08,enrollment_other,49
Iraq,2007/08,enrollment_undergrad,87
Iraq,2008/09,enrollment_grad,189
Iraq,2008/09,enrollment_other,40
Iraq,2008/09,enrollment_undergrad,130
Iraq,2009/10,enrollment_grad,200
Iraq,2009/10,enrollment_other,85
Iraq,2009/10,enrollment_undergrad,138
Iraq,2010/11,enrollment_grad,268
Iraq,2010/11,enrollment_other,158
Iraq,2010/11,enrollment_undergrad,190
