country,panel_year,prior_3yr_avg_growth,any_shock_active,num_shocks_active,cpi_annual_avg,target_next_yr_growth
China,2006,0.03069633178466861,0,0,201.59166666666667,0.18058997169037205
China,2007,0.08682711299539747,0,0,207.34241666666665,0.19134673930497215
China,2008,0.15029495683856986,0,0,215.3025,0.2617572152367398
China,2009,0.21123130874402798,0,0,214.537,0.21067386187022485
China,2010,0.22125927213731225,0,0,218.0555,0.20821398798261903
China,2011,0.22688168836319456,0,0,224.9391666666667,0.19411508582212988
China,2012,0.20433431189165793,0,0,229.59391666666667,0.1526062957825065
China,2013,0.18497845652908515,0,0,232.95708333333337,0.10243025766549252
China,2014,0.14971721309004296,1,1,236.73616666666663,0.07752063057406389
China,2015,0.11085239467402097,1,1,237.017,0.06540807177656127
China,2016,0.08178632000537256,1,1,240.00716666666665,0.03525381320142529
China,2017,0.059394171850683485,1,1,245.11958333333337,0.01693884997880879
China,2018,0.03920024498559845,1,2,251.10683333333336,0.00804230294147068
China,2019,0.020078322040568253,1,3,255.65741666666668,-0.16047839317753976
China,2020,-0.0451657467524201,1,7,258.8111666666667,-0.08966711625074275
China,2021,-0.08070106882893728,1,5,270.96975000000003,-0.0019323277442442333
China,2022,-0.08402594572417559,1,2,292.6549166666667,-0.0427918049482372
China,2023,-0.04479708298107473,1,3,304.7015833333333,-0.04226154691887629
India,2000,0.255543949265558,0,0,172.20000000000002,0.20103650005341933
India,2001,0.22829022465948867,0,0,177.0666666666667,0.10993886334644998
India,2002,0.18883977088847578,1,1,179.875,0.06654045678680909
India,2003,0.1258386067288928,1,1,183.95833333333337,0.009113557291701824
India,2004,0.06186429247498696,0,0,188.88333333333333,-0.050504779207008355
India,2005,0.008383078290500853,0,0,195.29166666666663,0.09149676897078862
India,2006,0.01670184901849403,0,0,201.59166666666667,0.12043955432221942
India,2007,0.05381051469533323,0,0,207.34241666666665,0.08798380040864551
India,2008,0.09997337456721785,0,0,215.3025,0.015728836876403918
